pc_loc,hot_loc
"51.0975848,-114.2002851","50.8627443,-114.7954559"
"51.0975848,-114.2002851","50.6352591,-115.0207181"
"51.0975848,-114.2002851","50.60375,-114.98474"
"51.0975848,-114.2002851","50.8429257,-114.8487139"
"51.0975848,-114.2002851","50.858334,-114.7941598"
"51.0975848,-114.2002851","50.5224824,-114.8401684"
"51.0975848,-114.2002851","50.5209579,-114.7725981"
"51.0975848,-114.2002851","50.793767,-114.8556157"
"51.0975848,-114.2002851","50.8624904,-114.7936736"
"51.0235534,-114.0983853","50.5969496,-114.9880251"
"51.0235534,-114.0983853","50.7980895,-114.8468122"
"51.0235534,-114.0983853","50.8627443,-114.7954559"
"51.0235534,-114.0983853","50.6352591,-115.0207181"
"51.0235534,-114.0983853","50.60375,-114.98474"
"51.0235534,-114.0983853","50.8429257,-114.8487139"
"51.0235534,-114.0983853","50.858334,-114.7941598"
"51.0235534,-114.0983853","50.5224824,-114.8401684"
"51.0235534,-114.0983853","50.5209579,-114.7725981"
"51.0235534,-114.0983853","50.793767,-114.8556157"
"51.0235534,-114.0983853","50.8624904,-114.7936736"
"51.04064375,-114.07929","50.6352591,-115.0207181"
"51.04064375,-114.07929","50.60375,-114.98474"
"50.725299,-113.972773","50.5969496,-114.9880251"
"50.725299,-113.972773","50.7980895,-114.8468122"
"50.725299,-113.972773","50.8627443,-114.7954559"
"50.725299,-113.972773","50.6352591,-115.0207181"
"50.725299,-113.972773","50.60375,-114.98474"
"50.725299,-113.972773","50.8429257,-114.8487139"
"50.725299,-113.972773","50.858334,-114.7941598"
"50.725299,-113.972773","50.5224824,-114.8401684"
"50.725299,-113.972773","50.5209579,-114.7725981"
"50.725299,-113.972773","50.793767,-114.8556157"
"50.725299,-113.972773","50.8624904,-114.7936736"
"51.0719826666667,-114.084834444444","50.5224824,-114.8401684"
"51.164547,-114.121259","50.7980895,-114.8468122"
"51.164547,-114.121259","50.8627443,-114.7954559"
"51.164547,-114.121259","50.8429257,-114.8487139"
"51.164547,-114.121259","50.858334,-114.7941598"
"51.164547,-114.121259","50.793767,-114.8556157"
"51.164547,-114.121259","50.8624904,-114.7936736"
"50.727979,-113.960084","50.5969496,-114.9880251"
"50.727979,-113.960084","50.7980895,-114.8468122"
"50.727979,-113.960084","50.8627443,-114.7954559"
"50.727979,-113.960084","50.6352591,-115.0207181"
"50.727979,-113.960084","50.60375,-114.98474"
"50.727979,-113.960084","50.8429257,-114.8487139"
"50.727979,-113.960084","50.858334,-114.7941598"
"50.727979,-113.960084","50.5224824,-114.8401684"
"50.727979,-113.960084","50.5209579,-114.7725981"
"50.727979,-113.960084","50.793767,-114.8556157"
"50.727979,-113.960084","50.8624904,-114.7936736"
"51.1075493333333,-113.944845666667","50.7980895,-114.8468122"
"51.1075493333333,-113.944845666667","50.8627443,-114.7954559"
"51.1075493333333,-113.944845666667","50.8429257,-114.8487139"
"51.1075493333333,-113.944845666667","50.858334,-114.7941598"
"51.1075493333333,-113.944845666667","50.793767,-114.8556157"
"51.1075493333333,-113.944845666667","50.8624904,-114.7936736"
"50.979478,-114.064744","50.5969496,-114.9880251"
"50.979478,-114.064744","50.7980895,-114.8468122"
"50.979478,-114.064744","50.8627443,-114.7954559"
"50.979478,-114.064744","50.6352591,-115.0207181"
"50.979478,-114.064744","50.60375,-114.98474"
"50.979478,-114.064744","50.8429257,-114.8487139"
"50.979478,-114.064744","50.858334,-114.7941598"
"50.979478,-114.064744","50.5224824,-114.8401684"
"50.979478,-114.064744","50.5209579,-114.7725981"
"50.979478,-114.064744","50.793767,-114.8556157"
"50.979478,-114.064744","50.8624904,-114.7936736"
"51.188247,-114.433677","50.5969496,-114.9880251"
"51.188247,-114.433677","50.7980895,-114.8468122"
"51.188247,-114.433677","50.8627443,-114.7954559"
"51.188247,-114.433677","50.6352591,-115.0207181"
"51.188247,-114.433677","50.60375,-114.98474"
"51.188247,-114.433677","50.8429257,-114.8487139"
"51.188247,-114.433677","50.858334,-114.7941598"
"51.188247,-114.433677","50.5224824,-114.8401684"
"51.188247,-114.433677","50.5209579,-114.7725981"
"51.188247,-114.433677","50.793767,-114.8556157"
"51.188247,-114.433677","50.8624904,-114.7936736"
"51.303158,-114.014079","50.8627443,-114.7954559"
"51.303158,-114.014079","50.8429257,-114.8487139"
"51.303158,-114.014079","50.858334,-114.7941598"
"51.303158,-114.014079","50.8624904,-114.7936736"
"50.9446075555556,-114.115199333333","50.5969496,-114.9880251"
"50.9446075555556,-114.115199333333","50.7980895,-114.8468122"
"50.9446075555556,-114.115199333333","50.8627443,-114.7954559"
"50.9446075555556,-114.115199333333","50.6352591,-115.0207181"
"50.9446075555556,-114.115199333333","50.60375,-114.98474"
"50.9446075555556,-114.115199333333","50.8429257,-114.8487139"
"50.9446075555556,-114.115199333333","50.858334,-114.7941598"
"50.9446075555556,-114.115199333333","50.5224824,-114.8401684"
"50.9446075555556,-114.115199333333","50.5209579,-114.7725981"
"50.9446075555556,-114.115199333333","50.793767,-114.8556157"
"50.9446075555556,-114.115199333333","50.8624904,-114.7936736"
"51.091787,-115.328514","51.32747,-116.18071"
"51.091787,-115.328514","50.5969496,-114.9880251"
"51.091787,-115.328514","50.7980895,-114.8468122"
"51.091787,-115.328514","51.2782396,-115.6372833"
"51.091787,-115.328514","50.8627443,-114.7954559"
"51.091787,-115.328514","51.0746763,-115.7789543"
"51.091787,-115.328514","51.4842692,-116.0776806"
"51.091787,-115.328514","50.6352591,-115.0207181"
"51.091787,-115.328514","50.60375,-114.98474"
"51.091787,-115.328514","50.8429257,-114.8487139"
"51.091787,-115.328514","50.858334,-114.7941598"
"51.091787,-115.328514","50.5224824,-114.8401684"
"51.091787,-115.328514","50.5209579,-114.7725981"
"51.091787,-115.328514","50.793767,-114.8556157"
"51.091787,-115.328514","50.8624904,-114.7936736"
"53.383356,-117.62883","53.0586103,-118.1105986"
"53.383356,-117.62883","53.0107649,-118.0895734"
"53.383356,-117.62883","52.7500791,-118.1415868"
"51.025196,-113.985368","50.7980895,-114.8468122"
"51.025196,-113.985368","50.8627443,-114.7954559"
"51.025196,-113.985368","50.8429257,-114.8487139"
"51.025196,-113.985368","50.858334,-114.7941598"
"51.025196,-113.985368","50.5209579,-114.7725981"
"51.025196,-113.985368","50.793767,-114.8556157"
"51.025196,-113.985368","50.8624904,-114.7936736"
"49.200504,-113.303141","49.0172699,-114.0461969"
"49.200504,-113.303141","49.1308275,-114.02692"
"49.200504,-113.303141","49.1293831,-114.029181"
"49.200504,-113.303141","49.0977994,-113.9510707"
"49.200504,-113.303141","49.0529453,-114.0582561"
"49.200504,-113.303141","49.0247222,-113.9975"
"49.200504,-113.303141","49.0783708,-113.9677638"
"49.200504,-113.303141","49.0173825,-114.0564537"
"49.200504,-113.303141","49.0249688,-113.6857282"
"49.200504,-113.303141","49.1206551,-113.9994755"
"51.0818673333333,-114.049619333333","50.5224824,-114.8401684"
"51.0818673333333,-114.049619333333","50.5209579,-114.7725981"
"51.0294846666667,-114.034320666667","50.5224824,-114.8401684"
"49.608823,-114.442842","49.0172699,-114.0461969"
"49.608823,-114.442842","49.1308275,-114.02692"
"49.608823,-114.442842","49.1293831,-114.029181"
"49.608823,-114.442842","49.0977994,-113.9510707"
"49.608823,-114.442842","49.0529453,-114.0582561"
"49.608823,-114.442842","49.0247222,-113.9975"
"49.608823,-114.442842","49.0783708,-113.9677638"
"49.608823,-114.442842","49.0173825,-114.0564537"
"49.608823,-114.442842","49.1206551,-113.9994755"
"51.043832,-113.838602","50.7980895,-114.8468122"
"51.043832,-113.838602","50.8627443,-114.7954559"
"51.043832,-113.838602","50.8429257,-114.8487139"
"51.043832,-113.838602","50.858334,-114.7941598"
"51.043832,-113.838602","50.793767,-114.8556157"
"51.043832,-113.838602","50.8624904,-114.7936736"
"51.14091575,-114.212478375","50.60375,-114.98474"
"51.068285,-113.930933","50.7980895,-114.8468122"
"51.068285,-113.930933","50.8627443,-114.7954559"
"51.068285,-113.930933","50.8429257,-114.8487139"
"51.068285,-113.930933","50.858334,-114.7941598"
"51.068285,-113.930933","50.793767,-114.8556157"
"51.068285,-113.930933","50.8624904,-114.7936736"
"50.8810295,-113.975389","50.5969496,-114.9880251"
"50.8810295,-113.975389","50.7980895,-114.8468122"
"50.8810295,-113.975389","50.8627443,-114.7954559"
"50.8810295,-113.975389","50.6352591,-115.0207181"
"50.8810295,-113.975389","50.60375,-114.98474"
"50.8810295,-113.975389","50.8429257,-114.8487139"
"50.8810295,-113.975389","50.858334,-114.7941598"
"50.8810295,-113.975389","50.5224824,-114.8401684"
"50.8810295,-113.975389","50.5209579,-114.7725981"
"50.8810295,-113.975389","50.793767,-114.8556157"
"50.8810295,-113.975389","50.8624904,-114.7936736"
"50.8979386666667,-114.048853","50.5969496,-114.9880251"
"50.8979386666667,-114.048853","50.7980895,-114.8468122"
"50.8979386666667,-114.048853","50.8627443,-114.7954559"
"50.8979386666667,-114.048853","50.6352591,-115.0207181"
"50.8979386666667,-114.048853","50.60375,-114.98474"
"50.8979386666667,-114.048853","50.8429257,-114.8487139"
"50.8979386666667,-114.048853","50.858334,-114.7941598"
"50.8979386666667,-114.048853","50.5224824,-114.8401684"
"50.8979386666667,-114.048853","50.5209579,-114.7725981"
"50.8979386666667,-114.048853","50.793767,-114.8556157"
"50.8979386666667,-114.048853","50.8624904,-114.7936736"
"50.953147,-114.580064","50.5969496,-114.9880251"
"50.953147,-114.580064","50.7980895,-114.8468122"
"50.953147,-114.580064","50.6352591,-115.0207181"
"50.953147,-114.580064","50.60375,-114.98474"
"50.953147,-114.580064","50.8429257,-114.8487139"
"50.953147,-114.580064","50.5224824,-114.8401684"
"50.953147,-114.580064","50.5209579,-114.7725981"
"50.953147,-114.580064","50.793767,-114.8556157"
"51.081839,-115.32956","51.32747,-116.18071"
"51.081839,-115.32956","50.5969496,-114.9880251"
"51.081839,-115.32956","50.7980895,-114.8468122"
"51.081839,-115.32956","51.2782396,-115.6372833"
"51.081839,-115.32956","50.8627443,-114.7954559"
"51.081839,-115.32956","51.0746763,-115.7789543"
"51.081839,-115.32956","51.4842692,-116.0776806"
"51.081839,-115.32956","50.6352591,-115.0207181"
"51.081839,-115.32956","50.60375,-114.98474"
