locality_id,postal_code,cost_time,cost_driving,cost_total
L4670542,T2M0Z4,42.77458823529412,48.966,91.74058823529413
L4670542,T2M4K4,36.26541176470588,48.966,85.23141176470588
L4670542,T2M3X9,36.050823529411765,48.966,85.01682352941177
L4670542,T2M0W1,37.481411764705875,48.966,86.44741176470588
L4670542,T2M0E3,32.224,48.966,81.19
L4670542,T2M0Y7,44.20517647058823,48.966,93.17117647058822
L4670542,T2M1J6,50.85741176470587,48.966,99.82341176470587
L4670542,T2M1Y4,58.22494117647059,48.966,107.19094117647059
L4670542,T2M2M5,51.071999999999996,48.966,100.038
L3404962,T2M0Z4,30.392470588235298,39.168,69.56047058823529
L3404962,T2M4K4,25.76752941176471,39.168,64.9355294117647
L3404962,T2M3X9,25.615058823529413,39.168,64.78305882352942
L3404962,T2M0W1,26.631529411764706,39.168,65.79952941176471
L3404962,T2M0E3,22.896,39.168,62.064
L3404962,T2M0Y7,31.408941176470588,39.168,70.57694117647058
L3404962,T2M1J6,36.13552941176471,39.168,75.30352941176471
L3404962,T2M1Y4,41.37035294117648,39.168,80.53835294117647
L3404962,T2M2M5,36.288,39.168,75.45599999999999
L2362995,T2M0Z4,25.13945098039216,27.27,52.40945098039216
L2362995,T2M4K4,21.313882352941178,27.27,48.583882352941174
L2362995,T2M3X9,21.187764705882355,27.27,48.457764705882354
L2362995,T2M0W1,22.02854901960784,27.27,49.29854901960784
L2362995,T2M0E3,18.938666666666666,27.27,46.208666666666666
L2362995,T2M0Y7,25.980235294117648,27.27,53.250235294117644
L2362995,T2M1J6,29.88988235294118,27.27,57.15988235294118
L2362995,T2M1Y4,34.219921568627456,27.27,61.48992156862745
L2362995,T2M2M5,30.016,27.27,57.286
L2474499,T2M0Z4,31.518117647058823,42.972,74.49011764705882
L2474499,T2M4K4,26.721882352941176,42.972,69.69388235294117
L2474499,T2M3X9,26.563764705882353,42.972,69.53576470588236
L2474499,T2M0W1,27.617882352941173,42.972,70.58988235294117
L2474499,T2M0E3,23.744,42.972,66.71600000000001
L2474499,T2M0Y7,32.57223529411765,42.972,75.54423529411764
L2474499,T2M1J6,37.473882352941175,42.972,80.44588235294117
L2474499,T2M1Y4,42.90258823529412,42.972,85.87458823529411
L2474499,T2M2M5,37.632,42.972,80.604
L2568676,T2M0Z4,17.63513725490196,19.362000000000002,36.99713725490196
L2568676,T2M4K4,14.951529411764705,19.362000000000002,34.313529411764705
L2568676,T2M3X9,14.863058823529412,19.362000000000002,34.225058823529416
L2568676,T2M0W1,15.452862745098036,19.362000000000002,34.81486274509804
L2568676,T2M0E3,13.285333333333332,19.362000000000002,32.647333333333336
